time;V(Net-_R7-Pad2_);V(Net-_U1-+_);
0.0159916;0.00185121;-0.0112823;
0.0160016;0.00406766;-0.0112271;
0.0160116;0.00628438;-0.0111715;
0.0160216;0.00849265;-0.0111162;
0.0160316;0.0106837;-0.0110618;
0.0160416;0.012849;-0.0110088;
0.0160516;0.0149799;-0.0109579;
0.0160616;0.017068;-0.0109096;
0.0160716;0.019105;-0.0108646;
0.0160816;0.0210831;-0.0108234;
0.0160916;0.0229942;-0.0107866;
0.0161016;0.0248309;-0.0107546;
0.0161116;0.026586;-0.010728;
0.0161216;0.0282525;-0.0107072;
0.0161316;0.0298238;-0.0106928;
0.0161416;0.0312938;-0.0106851;
0.0161516;0.0326566;-0.0106845;
0.0161616;0.0339068;-0.0106915;
0.0161716;0.0350396;-0.0107064;
0.0161816;0.0360504;-0.0107293;
0.0161916;0.0369353;-0.0107608;
0.0162016;0.0376907;-0.0108009;
0.0162116;0.0383138;-0.0108499;
0.0162216;0.0388019;-0.0109079;
0.0162316;0.0391533;-0.0109751;
0.0162416;0.0393665;-0.0110515;
0.0162516;0.0394406;-0.0111372;
0.0162616;0.0393755;-0.0112322;
0.0162716;0.0391713;-0.0113365;
0.0162816;0.0388288;-0.01145;
0.0162916;0.0383494;-0.0115727;
0.0163016;0.037735;-0.0117042;
0.0163116;0.036988;-0.0118446;
0.0163216;0.0361114;-0.0119935;
0.0163316;0.0351086;-0.0121507;
0.0163416;0.0339836;-0.0123159;
0.0163516;0.0327408;-0.0124888;
0.0163616;0.0313851;-0.0126691;
0.0163716;0.0299219;-0.0128563;
0.0163816;0.028357;-0.01305;
0.0163916;0.0266964;-0.0132497;
0.0164016;0.0249469;-0.0134551;
0.0164116;0.0231152;-0.0136656;
0.0164216;0.0212086;-0.0138807;
0.0164316;0.0192347;-0.0140998;
0.0164416;0.0172012;-0.0143224;
0.0164516;0.0151162;-0.014548;
0.0164616;0.0129878;-0.0147758;
0.0164716;0.0108245;-0.0150054;
0.0164816;0.00863481;-0.0152361;
0.0164916;0.00642739;-0.0154674;
0.0165016;0.00421094;-0.0156985;
0.0165116;0.00199421;-0.0159288;
0.0165216;-0.000214062;-0.0161578;
0.0165316;-0.00240515;-0.0163848;
0.0165416;-0.00457041;-0.0166092;
0.0165516;-0.0067013;-0.0168305;
0.0165616;-0.00878941;-0.0170479;
0.0165716;-0.0108265;-0.0172609;
0.0165816;-0.0128045;-0.017469;
0.0165916;-0.0147157;-0.0176716;
0.0166016;-0.0165524;-0.0178681;
0.0166116;-0.0183075;-0.0180581;
0.0166216;-0.019974;-0.0182411;
0.0166316;-0.0215453;-0.0184165;
0.0166416;-0.0230153;-0.018584;
0.0166516;-0.0243781;-0.0187432;
0.0166616;-0.0256283;-0.0188937;
0.0166716;-0.0267611;-0.0190351;
0.0166816;-0.0277719;-0.0191671;
0.0166916;-0.0286568;-0.0192894;
0.0167016;-0.0294123;-0.0194019;
0.0167116;-0.0300353;-0.0195042;
0.0167216;-0.0305235;-0.0195963;
0.0167316;-0.0308749;-0.019678;
0.0167416;-0.0310881;-0.0197491;
0.0167516;-0.0311622;-0.0198098;
0.0167616;-0.0310971;-0.0198598;
0.0167716;-0.0308929;-0.0198993;
0.0167816;-0.0305504;-0.0199283;
0.0167916;-0.030071;-0.0199469;
0.0168016;-0.0294567;-0.0199553;
0.0168116;-0.0287097;-0.0199536;
0.0168216;-0.0278331;-0.0199421;
0.0168316;-0.0268303;-0.019921;
0.0168416;-0.0257053;-0.0198905;
0.0168516;-0.0244625;-0.0198511;
0.0168616;-0.0231068;-0.019803;
