time;V(Net-_R2-Pad1_);V(Net-_U1-+_);
0.00660998;-4.69508;-0.127465;
0.00661098;-4.7352;-0.128431;
0.00661198;-4.77512;-0.129392;
0.00661298;-4.81485;-0.130348;
0.00661398;-4.8544;-0.131298;
0.00661498;-4.89374;-0.132243;
0.00661598;-4.93289;-0.133184;
0.00661698;-4.97184;-0.134118;
0.00661798;-5.01059;-0.135048;
0.00661898;-5.04914;-0.135972;
0.00661998;-5.08749;-0.136891;
0.00662098;-5.12564;-0.137804;
0.00662198;-5.16358;-0.138712;
0.00662298;-5.20131;-0.139615;
0.00662398;-5.23883;-0.140512;
0.00662498;-5.27615;-0.141403;
0.00662598;-5.31325;-0.142289;
0.00662698;-5.35014;-0.14317;
0.00662798;-5.38682;-0.144044;
0.00662898;-5.42328;-0.144913;
0.00662998;-5.45952;-0.145776;
0.00663098;-5.49554;-0.146634;
0.00663198;-5.53135;-0.147486;
0.00663298;-5.56693;-0.148331;
0.00663398;-5.60229;-0.149171;
0.00663498;-5.63743;-0.150005;
0.00663598;-5.67234;-0.150834;
0.00663698;-5.70702;-0.151656;
0.00663798;-5.74148;-0.152472;
0.00663898;-5.7757;-0.153282;
0.00663998;-5.8097;-0.154087;
0.00664098;-5.84346;-0.154885;
0.00664198;-5.87699;-0.155677;
0.00664298;-5.91029;-0.156462;
0.00664398;-5.94335;-0.157242;
0.00664498;-5.97617;-0.158016;
0.00664598;-6.00875;-0.158783;
0.00664698;-6.04109;-0.159544;
0.00664798;-6.0732;-0.160298;
0.00664898;-6.10505;-0.161047;
0.00664998;-6.13667;-0.161789;
0.00665098;-6.16804;-0.162524;
0.00665198;-6.19916;-0.163253;
0.00665298;-6.23004;-0.163976;
0.00665398;-6.26067;-0.164692;
0.00665498;-6.29105;-0.165402;
0.00665598;-6.32117;-0.166105;
0.00665698;-6.35105;-0.166802;
0.00665798;-6.38067;-0.167492;
0.00665898;-6.41003;-0.168175;
0.00665998;-6.43915;-0.168852;
0.00666098;-6.468;-0.169522;
0.00666198;-6.4966;-0.170186;
0.00666298;-6.52493;-0.170842;
