time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0064543;0.141614;-3.04023;
0.0064553;0.138599;-2.98043;
0.0064563;0.135577;-2.92051;
0.0064573;0.132551;-2.86047;
0.0064583;0.129519;-2.80032;
0.0064593;0.126482;-2.74006;
0.0064603;0.12344;-2.67969;
0.0064613;0.120394;-2.61922;
0.0064623;0.117342;-2.55864;
0.0064633;0.114286;-2.49796;
0.0064643;0.111225;-2.43718;
0.0064653;0.10816;-2.37631;
0.0064663;0.105091;-2.31534;
0.0064673;0.102017;-2.25428;
0.0064683;0.0989399;-2.19313;
0.0064693;0.0958585;-2.1319;
0.0064703;0.0927733;-2.07058;
0.0064713;0.0896845;-2.00918;
0.0064723;0.0865921;-1.9477;
0.0064733;0.0834963;-1.88614;
0.0064743;0.0803972;-1.82451;
0.0064753;0.0772949;-1.76281;
0.0064763;0.0741896;-1.70104;
0.0064773;0.0710813;-1.6392;
0.0064783;0.0679702;-1.57729;
0.0064793;0.0648565;-1.51533;
0.0064803;0.0617402;-1.45331;
0.0064813;0.0586214;-1.39122;
0.0064823;0.0555004;-1.32909;
0.0064833;0.0523771;-1.2669;
0.0064843;0.0492518;-1.20466;
0.0064853;0.0461245;-1.14238;
0.0064863;0.0429954;-1.08005;
0.0064873;0.0398647;-1.01767;
0.0064883;0.0367323;-0.955258;
0.0064893;0.0335985;-0.892805;
0.0064903;0.0304634;-0.830316;
0.0064913;0.027327;-0.767793;
0.0064923;0.0241896;-0.705238;
0.0064933;0.0210512;-0.642653;
0.0064943;0.017912;-0.58004;
0.0064953;0.0147721;-0.517401;
0.0064963;0.0116316;-0.454739;
0.0064973;0.00849068;-0.392055;
0.0064983;0.00534939;-0.32935;
0.0064993;0.0022079;-0.266628;
0.0065003;-0.000933689;-0.20389;
0.0065013;-0.00407524;-0.141138;
0.0065023;-0.00721662;-0.0783742;
0.0065033;-0.0103577;-0.0156003;
0.0065043;-0.0134984;0.0471814;
0.0065053;-0.0166386;0.109969;
0.0065063;-0.0197781;0.172759;
0.0065073;-0.0229168;0.23555;
0.0065083;-0.0260546;0.29834;
0.0065093;-0.0291914;0.361125;
0.0065103;-0.0323271;0.423903;
0.0065113;-0.0354614;0.486672;
0.0065123;-0.0385944;0.549428;
0.0065133;-0.0417258;0.612169;
0.0065143;-0.0448556;0.674892;
0.0065153;-0.0479836;0.737593;
0.0065163;-0.0511097;0.80027;
0.0065173;-0.0542339;0.862921;
0.0065183;-0.0573558;0.925541;
0.0065193;-0.0604755;0.988128;
0.0065203;-0.0635928;1.05068;
0.0065213;-0.0667076;1.11319;
0.0065223;-0.0698198;1.17566;
0.0065233;-0.0729292;1.23809;
0.0065243;-0.0760358;1.30047;
0.0065253;-0.0791393;1.36279;
0.0065263;-0.0822397;1.42507;
0.0065273;-0.0853369;1.48729;
0.0065283;-0.0884307;1.54945;
0.0065293;-0.091521;1.61155;
0.0065303;-0.0946076;1.67359;
0.0065313;-0.0976906;1.73556;
0.0065323;-0.10077;1.79746;
0.0065333;-0.103845;1.85929;
0.0065343;-0.106916;1.92105;
0.0065353;-0.109983;1.98273;
0.0065363;-0.113045;2.04434;
0.0065373;-0.116103;2.10586;
0.0065383;-0.119156;2.1673;
0.0065393;-0.122205;2.22865;
0.0065403;-0.125249;2.28991;
0.0065413;-0.128288;2.35109;
0.0065423;-0.131322;2.41217;
0.0065433;-0.134351;2.47315;
0.0065443;-0.137374;2.53404;
0.0065453;-0.140392;2.59483;
0.0065463;-0.143404;2.65551;
0.0065473;-0.146411;2.71609;
0.0065483;-0.149412;2.77656;
0.0065493;-0.152407;2.83692;
0.0065503;-0.155396;2.89718;
0.0065513;-0.158379;2.95731;
0.0065523;-0.161356;3.01733;
0.0065533;-0.164326;3.07723;
0.0065543;-0.16729;3.13701;
0.0065553;-0.170247;3.19667;
0.0065563;-0.173198;3.2562;
0.0065573;-0.176141;3.3156;
